,DATE,PRICE,CALCULATED_NAV,INDEX_VALUE,RETURN_OMXS,DISCOUNT/PREMIUM,RETURN,RETURN - OMXS,DISCOUNT/PREMIUM_ADJ,DISCOUNT/PREMIUM_NORM,DAILY_RETURN,VOL_30D,SHARPE_30D,VOL_EXP,SHARPE_EXP,RETURN - OMXS_CAT,DISCOUNT/PREMIUM_ADJ_CAT
232,2017-10-30,411.7,507.0,1662.32128012523,-2.38,0.2314792324508137,-0.0208889968423608,0.0029110031576391,-0.1879684418145956,0.5484426826143535,-0.0141283524904215,0.1118411712254071,5.193347357426874,0.1361870951050084,2.350083229639808,low,low
233,2017-10-31,414.9,512.0,1671.62859400754,-2.44,0.2340322969390215,-0.024343215232586,5.678476741391783e-05,-0.1896484375,0.5551296710365725,0.0077726499878552,0.1128473068403013,5.4158653998892605,0.1360614315764113,2.403942588754643,low,low
234,2017-11-01,415.3,514.0,1672.02586145179,-2.06,0.2376595232362147,-0.022634240308211,-0.002034240308211,-0.1920233463035019,0.5646301048744684,0.0009640877319836,0.1126500012784086,5.516553543354906,0.1357695823723859,2.40646187720908,low,low
235,2017-11-02,414.9,513.0,1672.77624505916,-1.75,0.2364425162689805,-0.0168715353097131,0.0006284646902868,-0.1912280701754386,0.5614425193131778,-0.0009631591620515,0.1127095953509275,5.036392359651479,0.1354993724235705,2.39337767758569,low,low
236,2017-11-03,416.6,515.0,1677.6544540502,-2.02,0.2361977916466634,-0.0194431108977436,0.0007568891022563,-0.1910679611650485,0.5608015363988702,0.0040973728609303,0.1128256319249946,5.1252483165380776,0.1352419540588804,2.420123096421148,low,low
237,2017-11-06,417.2,515.0,1676.14145483836,-1.75,0.2344199424736338,-0.020613614573346,-0.003113614573346,-0.1899029126213592,0.556144992511549,0.0014402304368699,0.1128263351704472,5.002892581128004,0.1349551991017009,2.42637957798096,low,low
238,2017-11-07,412.3,514.0,1670.23607272001,-0.31,0.2466650497210768,0.0019403347077371,0.0050403347077371,-0.1978599221789883,0.5882173865974355,-0.0117449664429529,0.1194098344799629,3.522456024343265,0.1353374416542162,2.317472810057504,low,low
239,2017-11-08,409.9,512.0,1662.98789736038,0.49,0.2490851427177361,0.0119541351549159,0.0070541351549159,-0.1994140625,0.5945560959892668,-0.0058210041232112,0.1207986319379863,2.705136438989818,0.1352475601094159,2.263929259908773,low,low
240,2017-11-09,404.2,507.0,1643.25544337258,2.07,0.2543295398317665,0.0254824344383968,0.0047824344383968,-0.2027613412228797,0.6082922248434417,-0.0139058306904122,0.1274190058596599,1.2134815773211174,0.1358508013592735,2.137006098458796,low,low
241,2017-11-10,404.5,504.0,1634.68129008838,2.32,0.245982694684796,0.0249690976514215,0.0017690976514215,-0.1974206349206349,0.5864301617746674,0.0007422068283029,0.1220426278151736,0.4342758724846388,0.1355681311799689,2.138300864527937,low,low
242,2017-11-13,400.8,504.0,1630.5119365108,1.7,0.2574850299401197,0.0296906187624749,0.0126906187624749,-0.2047619047619047,0.616557086901743,-0.0091470951792336,0.1233497964087922,-0.6502748451335585,0.13569405588801,2.057293535739415,low,low
243,2017-11-14,400.3,504.0,1628.48482222393,1.94,0.2590557082188358,0.0337247064701473,0.0143247064701473,-0.2057539682539682,0.6206710086273076,-0.0012475049900199,0.1100422986304152,-2.2188903375664677,0.1354346462271616,2.0431993286638988,low,low
244,2017-11-15,400.0,503.0,1626.9998831606,1.16,0.2575,0.03275,0.02115,-0.2047713717693837,0.6165962964938084,-0.0007494379215589,0.1097517258006528,-2.0037426180929345,0.1351687277941582,2.033102440229086,low,low
245,2017-11-16,402.4,505.0,1633.65819378762,-0.12,0.2549701789264414,0.0141650099403579,0.0153650099403579,-0.2031683168316832,0.6099701872406703,0.006,0.1081100006122819,-2.2298072756208795,0.1349833217269438,2.073305162508675,low,low
246,2017-11-17,401.1,504.0,1617.69904671705,0.91,0.256544502617801,0.0177013213662427,0.0086013213662427,-0.2041666666666666,0.6140936570337646,-0.0032306163021867,0.1081033910474904,-2.574727539156224,0.1347792018508017,2.0434499784274425,low,low
247,2017-11-20,402.2,505.0,1623.54170724702,-0.33,0.2555942317255097,0.008453505718548,0.011753505718548,-0.2035643564356435,0.6116047068000068,0.0027424582398403,0.1082015005247578,-2.546600276583942,0.1345153006203127,2.0599700608980296,low,low
248,2017-11-21,407.4,508.0,1636.64582214316,-0.76,0.24693176239568,0.002454590083456,0.010054590083456,-0.1980314960629921,0.5889159606347808,0.0129288910989557,0.1149133849353423,-1.101255179665044,0.1347712833607401,2.1452462112451745,low,low
249,2017-11-22,399.1,504.0,1617.51680723131,0.18,0.2628413931345527,0.0157855174141817,0.0139855174141817,-0.2081349206349206,0.6305864773976787,-0.0203730976926852,0.1285233270968365,-2.3003878902847843,0.1362305645907461,1.962393052668537,low,low
250,2017-11-23,398.5,502.0,1612.57306728902,0.39,0.2597239648682559,0.0208281053952321,0.0169281053952321,-0.2061752988047809,0.6224213069446369,-0.0015033826108745,0.1285072727606611,-2.272573245018515,0.1359811071302635,1.946984825874038,low,low
251,2017-11-24,397.0,503.0,1614.62162818161,0.45,0.2670025188916876,0.0274559193954659,0.0229559193954659,-0.2107355864811133,0.6414853011014591,-0.0037641154328732,0.1287291161936799,-2.4352786474912325,0.1357945947616964,1.9140618026850684,low,low
252,2017-11-27,394.8,502.0,1608.74383927646,1.62,0.2715298885511651,0.0387537993920972,0.0225537993920972,-0.2135458167330677,0.6533433911089246,-0.0055415617128463,0.1292500473140869,-2.596548548356743,0.1356831209395528,1.8671906851388305,low,low
253,2017-11-28,396.2,504.0,1620.80882471371,1.22,0.2720848056537103,0.0310449268046441,0.0188449268046441,-0.2138888888888889,0.6547968304000785,0.00354609929078,0.1283918329176687,-1.8569773637363711,0.1354373805222218,1.8892640498178233,low,low
254,2017-11-29,396.3,503.0,1613.55856942692,0.74,0.2692404743880898,0.0211960635881907,0.0137960635881907,-0.2121272365805168,0.6473469558160206,0.0002523977788995,0.1261731617706077,-2.3460335325913473,0.1351715891343556,1.887378822644896,low,low
255,2017-11-30,390.9,501.0,1610.10557669272,1.27,0.2816577129700691,0.0419544640573037,0.0292544640573037,-0.2197604790419162,0.6798701964224168,-0.0136260408781226,0.130968757769377,-2.8531074425029077,0.1356878271576752,1.7735842242743731,low,low
256,2017-12-01,383.6,497.0,1592.19942898588,3.37,0.2956204379562043,0.0709071949947862,0.0372071949947862,-0.228169014084507,0.7164413761776363,-0.0186748529035557,0.1332270616900052,-4.768208251381826,0.1368148204012322,1.617739049256389,low,low
257,2017-12-04,394.3,502.0,1616.79751555904,2.82,0.2731422774537154,0.0649251838701495,0.0367251838701495,-0.2145418326693227,0.6575665613317171,0.0278936392075077,0.1595912990376375,-2.296313829270899,0.1391431151319659,1.781047016125516,low,low
258,2017-12-05,392.2,500.0,1613.36117908428,2.58,0.2748597654258032,0.0471698113207547,0.0213698113207547,-0.2156,0.6620650071162628,-0.0053258939893482,0.1599852995432905,-2.493923103202458,0.139012065054822,1.738394790645654,low,low
259,2017-12-06,387.3,498.0,1595.440369361,3.84,0.2858249419054995,0.0668732248902658,0.0284732248902658,-0.222289156626506,0.6907850055753658,-0.0124936257011728,0.1630694085779429,-3.0277956192217625,0.1393755163253132,1.6399497825871787,low,low
260,2017-12-07,386.4,499.0,1599.28650744083,3.69,0.2914078674948241,0.0693581780538302,0.0324581780538302,-0.2256513026052104,0.7054078084659152,-0.0023237800154919,0.1541333363370291,-4.191034582349268,0.1391425505719204,1.6201906370440895,low,low
261,2017-12-08,387.8,501.0,1610.82440470503,4.07,0.2919030428055698,0.074780814853017,0.034080814853017,-0.2259481037924151,0.7067047720111838,0.0036231884057971,0.1550955106304641,-3.929921678849512,0.1389005897894284,1.6419798060102164,low,low
262,2017-12-11,389.4,502.0,1619.47324310006,2.65,0.2891628145865434,0.0546995377503852,0.0281995377503852,-0.2243027888446215,0.6995275642048387,0.0041258380608559,0.1521144202937219,-2.9989136336142117,0.1386702218519304,1.667047330264636,low,low
263,2017-12-12,390.6,503.0,1623.75231780223,2.69,0.2877624167946748,0.0509472606246799,0.0240472606246799,-0.2234592445328031,0.695859641258129,0.0030816640986133,0.1501412233384202,-3.30077429328485,0.1384215446779919,1.6850239907473084,low,low
264,2017-12-13,389.4,501.0,1619.82105431932,2.29,0.2865947611710324,0.0511042629686698,0.0282042629686698,-0.2227544910179641,0.6928013167729858,-0.0030721966205838,0.1499121581356363,-3.531982232156907,0.1382133351169189,1.6599525185516677,low,low
265,2017-12-14,386.0,500.0,1609.59801014435,3.45,0.2953367875647668,0.0813471502590673,0.0468471502590673,-0.228,0.7156984388596559,-0.0087313816127374,0.1510858066763429,-3.936439567610621,0.1382713650244796,1.5929455789493727,low,low
266,2017-12-15,383.1,500.0,1594.35043223552,3.43,0.3051422605063951,0.0790916209866874,0.0447916209866874,-0.2337999999999999,0.7413809409421157,-0.0075129533678756,0.1505199551265557,-4.599170171456962,0.1382514478613854,1.5357031530308365,low,low
267,2017-12-18,388.1,506.0,1615.63075603722,1.19,0.3037876835867044,0.0543674310744652,0.0424674310744652,-0.2330039525691699,0.7378330320581783,0.0130514226050639,0.1569513348924356,-3.789282034599177,0.1385001486608232,1.616144117578494,low,low
268,2017-12-19,385.4,504.0,1611.43420065026,0.61,0.3077322262584329,0.0464452516865595,0.0403452516865595,-0.2353174603174603,0.7481645811822327,-0.0069569698531307,0.1550656392140014,-3.5759933991210717,0.1384497028759407,1.563451260440917,low,low
269,2017-12-20,380.3,503.0,1600.28862680328,1.51,0.3226400210360241,0.0617933210623192,0.0466933210623192,-0.2439363817097415,0.7872110884440019,-0.0132330046704721,0.1580291516300377,-3.902916015778418,0.1388626313242527,1.4637340568580666,low,low
270,2017-12-21,383.4,506.0,1616.26759263055,-1.31,0.3197704747000522,0.0279081898800209,0.0410081898800209,-0.2422924901185771,0.7796951705287692,0.0081514593741782,0.1570591592493085,-2.7473295564332973,0.1387857981718972,1.513938651806345,low,low
271,2017-12-22,379.2,504.0,1606.24721713679,-3.48,0.3291139240506329,0.0158227848101265,0.0506227848101265,-0.2476190476190476,0.8041675400750563,-0.0109546165884193,0.1591159246305129,-3.3293121869781066,0.1389941805173242,1.4328029942771865,medium,low
272,2017-12-27,377.8,502.0,1594.98647083717,-3.67,0.3287453679195341,0.0076760190577024,0.0443760190577024,-0.247410358565737,0.8032022175800786,-0.0036919831223628,0.1577971637168974,-3.0667448915947917,0.1388045620096438,1.4048428064443026,low,low
273,2017-12-28,376.1,501.0,1588.50579135913,-3.3,0.3320925285828236,0.0047859611805369,0.0377859611805369,-0.2493013972055887,0.8119691032996148,-0.0044997353096876,0.157958103600622,-3.2365695001933266,0.1386417827491848,1.3713810100773942,low,low
274,2017-12-29,374.1,499.0,1576.93621784413,-1.44,0.3338679497460571,0.0219192729216786,0.0363192729216786,-0.2503006012024047,0.8166192877418571,-0.0053177346450412,0.1581913279078225,-3.4743754930716677,0.1385100960129008,1.3323652385921778,low,low
275,2018-01-02,373.8,499.0,1579.81699930366,-2.0,0.3349384697699304,0.0219368646334938,0.0419368646334938,-0.2509018036072144,0.819423194591237,-0.0008019246190857,0.1563522677600533,-3.880674379669875,0.1382649099694322,1.324559543730103,low,low
276,2018-01-03,378.9,501.0,1587.56203372263,-2.75,0.3222486144101347,0.0245447347585115,0.0520447347585115,-0.2437125748502994,0.7861859159159316,0.0136436597110753,0.1630844575137786,-2.851334383897579,0.1385640881875134,1.4068133527431903,medium,low
277,2018-01-04,388.2,505.0,1603.67196230949,-4.49,0.300875837197321,-0.0005151983513652,0.0443848016486347,-0.2312871287128713,0.7302063218113269,0.0245447347585114,0.1797991097412956,-1.5676896222514745,0.1401588799440125,1.545100698471021,low,low
278,2018-01-05,390.0,508.0,1611.30632361956,-5.29,0.3025641025641025,-0.0076923076923076,0.0452076923076923,-0.2322834645669291,0.7346282277261384,0.0046367851622874,0.1757296411681792,-2.0003619535254016,0.1399518746739663,1.5718526207675896,low,low
279,2018-01-08,393.6,511.0,1619.13480559168,-6.81,0.2982723577235772,-0.0304878048780487,0.0376121951219512,-0.2297455968688845,0.7233872864211824,0.0092307692307693,0.1687554636705332,-0.6094641554437382,0.1399255703308234,1.626098198592688,low,low
